run_id,project,project_path,unit,unit_path,file,file_output_dir,methods,ui,tests,api_map,raw,csv,seconds
1,Code_File2,/content/drive/MyDrive/All_Code_Files_1/Code_File2,example_06,/content/drive/MyDrive/All_Code_Files_1/Code_File2/Ecodriving/app/src/main/java/com/example,Ecodriving/app/src/main/java/com/example/ecodriving/MainActivity.java,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/example_06__MainActivity_002,1,1,1,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/example_06__MainActivity_002/api_map.json,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/example_06__MainActivity_002/testcases_raw.txt,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/example_06__MainActivity_002/testcases.csv,10.66
1,Code_File2,/content/drive/MyDrive/All_Code_Files_1/Code_File2,example_06,/content/drive/MyDrive/All_Code_Files_1/Code_File2/Ecodriving/app/src/main/java/com/example,Ecodriving/app/src/main/java/com/example/ecodriving/RegistrationActivity.java,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/example_06__RegistrationActivity_003,4,9,1,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/example_06__RegistrationActivity_003/api_map.json,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/example_06__RegistrationActivity_003/testcases_raw.txt,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/example_06__RegistrationActivity_003/testcases.csv,71.42
1,Code_File2,/content/drive/MyDrive/All_Code_Files_1/Code_File2,example_06,/content/drive/MyDrive/All_Code_Files_1/Code_File2/Ecodriving/app/src/main/java/com/example,Ecodriving/app/src/main/java/com/example/ecodriving/Speedometer.java,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/example_06__Speedometer_004,12,0,14,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/example_06__Speedometer_004/api_map.json,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/example_06__Speedometer_004/testcases_raw.txt,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/example_06__Speedometer_004/testcases.csv,116.75
1,Code_File2,/content/drive/MyDrive/All_Code_Files_1/Code_File2,example_06,/content/drive/MyDrive/All_Code_Files_1/Code_File2/Ecodriving/app/src/main/java/com/example,Ecodriving/app/src/main/java/com/example/ecodriving/ui/Profile/ProfileFragment.java,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/example_06__ProfileFragment_005,5,2,1,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/example_06__ProfileFragment_005/api_map.json,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/example_06__ProfileFragment_005/testcases_raw.txt,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/example_06__ProfileFragment_005/testcases.csv,84.16
1,Code_File2,/content/drive/MyDrive/All_Code_Files_1/Code_File2,example_06,/content/drive/MyDrive/All_Code_Files_1/Code_File2/Ecodriving/app/src/main/java/com/example,Ecodriving/app/src/main/java/com/example/ecodriving/ui/home/HomeFragment.java,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/example_06__HomeFragment_006,12,6,10,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/example_06__HomeFragment_006/api_map.json,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/example_06__HomeFragment_006/testcases_raw.txt,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/example_06__HomeFragment_006/testcases.csv,135.11
1,Code_File2,/content/drive/MyDrive/All_Code_Files_1/Code_File2,example_06,/content/drive/MyDrive/All_Code_Files_1/Code_File2/Ecodriving/app/src/main/java/com/example,Ecodriving/app/src/main/java/com/example/ecodriving/ui/statistics/StatisticsFragment.java,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/example_06__StatisticsFragment_007,10,0,10,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/example_06__StatisticsFragment_007/api_map.json,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/example_06__StatisticsFragment_007/testcases_raw.txt,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/example_06__StatisticsFragment_007/testcases.csv,105.59
1,Code_File2,/content/drive/MyDrive/All_Code_Files_1/Code_File2,example_07,/content/drive/MyDrive/All_Code_Files_1/Code_File2/Ecodriving/app/src/test/java/com/example,Ecodriving/app/src/test/java/com/example/ecodriving/ExampleUnitTest.java,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/example_07__ExampleUnitTest_001,1,0,1,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/example_07__ExampleUnitTest_001/api_map.json,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/example_07__ExampleUnitTest_001/testcases_raw.txt,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/example_07__ExampleUnitTest_001/testcases.csv,4.5
1,Code_File2,/content/drive/MyDrive/All_Code_Files_1/Code_File2,home_08,/content/drive/MyDrive/All_Code_Files_1/Code_File2/Ecodriving/app/src/main/java/com/example/ecodriving/ui/home,Ecodriving/app/src/main/java/com/example/ecodriving/ui/home/HomeFragment.java,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/home_08__HomeFragment_001,12,6,10,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/home_08__HomeFragment_001/api_map.json,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/home_08__HomeFragment_001/testcases_raw.txt,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/home_08__HomeFragment_001/testcases.csv,134.88
1,Code_File2,/content/drive/MyDrive/All_Code_Files_1/Code_File2,Profile_09,/content/drive/MyDrive/All_Code_Files_1/Code_File2/Ecodriving/app/src/main/java/com/example/ecodriving/ui/Profile,Ecodriving/app/src/main/java/com/example/ecodriving/ui/Profile/ProfileFragment.java,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/Profile_09__ProfileFragment_001,5,2,1,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/Profile_09__ProfileFragment_001/api_map.json,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/Profile_09__ProfileFragment_001/testcases_raw.txt,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/Profile_09__ProfileFragment_001/testcases.csv,83.96
1,Code_File2,/content/drive/MyDrive/All_Code_Files_1/Code_File2,statistics_10,/content/drive/MyDrive/All_Code_Files_1/Code_File2/Ecodriving/app/src/main/java/com/example/ecodriving/ui/statistics,Ecodriving/app/src/main/java/com/example/ecodriving/ui/statistics/StatisticsFragment.java,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/statistics_10__StatisticsFragment_001,10,0,10,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/statistics_10__StatisticsFragment_001/api_map.json,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/statistics_10__StatisticsFragment_001/testcases_raw.txt,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/statistics_10__StatisticsFragment_001/testcases.csv,105.88
1,Code_File2,/content/drive/MyDrive/All_Code_Files_1/Code_File2,ui_11,/content/drive/MyDrive/All_Code_Files_1/Code_File2/Ecodriving/app/src/main/java/com/example/ecodriving/ui,Ecodriving/app/src/main/java/com/example/ecodriving/ui/Profile/ProfileFragment.java,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/ui_11__ProfileFragment_001,5,2,1,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/ui_11__ProfileFragment_001/api_map.json,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/ui_11__ProfileFragment_001/testcases_raw.txt,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/ui_11__ProfileFragment_001/testcases.csv,83.94
1,Code_File2,/content/drive/MyDrive/All_Code_Files_1/Code_File2,ui_11,/content/drive/MyDrive/All_Code_Files_1/Code_File2/Ecodriving/app/src/main/java/com/example/ecodriving/ui,Ecodriving/app/src/main/java/com/example/ecodriving/ui/home/HomeFragment.java,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/ui_11__HomeFragment_002,12,6,10,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/ui_11__HomeFragment_002/api_map.json,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/ui_11__HomeFragment_002/testcases_raw.txt,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/ui_11__HomeFragment_002/testcases.csv,134.71
1,Code_File2,/content/drive/MyDrive/All_Code_Files_1/Code_File2,ui_11,/content/drive/MyDrive/All_Code_Files_1/Code_File2/Ecodriving/app/src/main/java/com/example/ecodriving/ui,Ecodriving/app/src/main/java/com/example/ecodriving/ui/statistics/StatisticsFragment.java,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/ui_11__StatisticsFragment_003,10,0,10,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/ui_11__StatisticsFragment_003/api_map.json,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/ui_11__StatisticsFragment_003/testcases_raw.txt,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/ui_11__StatisticsFragment_003/testcases.csv,105.39
