report_folder,model_name,uml_txt_file,testcase_csv_file,num_testcases,num_concepts,num_flows,num_validations,concept_coverage,flow_coverage,validation_coverage,semantic_coverage,validation_status
Report_10_uml_pages,BAAI/bge-large-en-v1.5,Report_10_uml_pages.txt,Report_10_uml_pages_testcases.csv,28,36,76,4,0.764394505156411,0.7688263239044892,0.8003749549388885,0.777865261333263,computed_from_txt_validations
Report_12_uml_pages,BAAI/bge-large-en-v1.5,Report_12_uml_pages.txt,Report_12_uml_pages_testcases.csv,23,49,225,2,0.7209567026216157,0.7543167609638638,0.7021360993385315,0.725803187641337,computed_from_txt_validations
Report_13_uml_pages,BAAI/bge-large-en-v1.5,Report_13_uml_pages.txt,Report_13_uml_pages_testcases.csv,27,5,32,3,0.7779932022094727,0.7631678152829409,0.8241910735766093,0.7884506970230075,computed_from_txt_validations
Report_14_uml_pages,BAAI/bge-large-en-v1.5,Report_14_uml_pages.txt,Report_14_uml_pages_testcases.csv,26,16,81,0,0.7560890689492226,0.7557507451669669,1.0,0.8372799380387299,no_validations_in_txt_assumed_100_percent
Report_15_uml_pages,BAAI/bge-large-en-v1.5,Report_15_uml_pages.txt,Report_15_uml_pages_testcases.csv,26,16,102,2,0.7355055324733257,0.7213025139827355,0.6930841505527496,0.7166307323362703,computed_from_txt_validations
Report_16_uml_pages,BAAI/bge-large-en-v1.5,Report_16_uml_pages.txt,Report_16_uml_pages_testcases.csv,19,5,25,6,0.7405737280845642,0.7636494398117065,0.8209441105524699,0.7750557594829135,computed_from_txt_validations
Report_19_uml_pages,BAAI/bge-large-en-v1.5,Report_19_uml_pages.txt,Report_19_uml_pages_testcases.csv,27,5,32,3,0.7779932022094727,0.7631678152829409,0.8241910735766093,0.7884506970230075,computed_from_txt_validations
Report_1_uml_pages,BAAI/bge-large-en-v1.5,Report_1_uml_pages.txt,Report_1_uml_pages_testcases.csv,26,11,89,1,0.7289690429514105,0.7469023365652963,0.7017064094543457,0.7258592629903508,computed_from_txt_validations
Report_21_uml_pages,BAAI/bge-large-en-v1.5,Report_21_uml_pages.txt,Report_21_uml_pages_testcases.csv,27,30,137,3,0.7283425211906434,0.7487550521418996,0.7207318941752116,0.7326098225025848,computed_from_txt_validations
Report_22_uml_pages,BAAI/bge-large-en-v1.5,Report_22_uml_pages.txt,Report_22_uml_pages_testcases.csv,10,9,66,0,0.711988177564409,0.7236456220800226,1.0,0.8118779332148106,no_validations_in_txt_assumed_100_percent
