report_folder,model_name,design_total_source_cases,design_to_code_alignment,requirement_total_source_cases,requirement_to_code_alignment
report_01,BAAI/bge-large-en-v1.5,12,0.8444314897060394,72,0.8234895418087641
report_02,BAAI/bge-large-en-v1.5,18,0.8422967559761472,58,0.8270028613764664
report_03,BAAI/bge-large-en-v1.5,14,0.8658366501331329,123,0.8327542843857432
report_04,BAAI/bge-large-en-v1.5,16,0.831717099994421,52,0.8067991836712911
report_05,BAAI/bge-large-en-v1.5,15,0.8791631976763408,85,0.8623599213712355
report_06,BAAI/bge-large-en-v1.5,13,0.8290967757885273,66,0.835690416169889
report_07,BAAI/bge-large-en-v1.5,12,0.8485881686210632,27,0.8230105329442907
report_08,BAAI/bge-large-en-v1.5,17,0.8211502152330735,53,0.818599745912372
report_09,BAAI/bge-large-en-v1.5,19,0.8448397485833419,114,0.8202894518249914
report_10,BAAI/bge-large-en-v1.5,16,0.8528854921460152,65,0.8379442572593689
report_12,BAAI/bge-large-en-v1.5,16,0.8352931141853333,111,0.8352801488326477
report_13,BAAI/bge-large-en-v1.5,17,0.8268769523676704,56,0.8400173304336411
report_14,BAAI/bge-large-en-v1.5,16,0.8313921242952347,77,0.8220648633969294
report_15,BAAI/bge-large-en-v1.5,13,0.8055348075353183,74,0.8242659174107216
report_16,BAAI/bge-large-en-v1.5,8,0.814066544175148,41,0.8250957640205941
report_19,BAAI/bge-large-en-v1.5,19,0.8319567818390695,56,0.8401085755654744
report_21,BAAI/bge-large-en-v1.5,17,0.8474949703497046,100,0.8296002209186554
report_22,BAAI/bge-large-en-v1.5,18,0.8383145299222734,81,0.8375560295434645
report_23,BAAI/bge-large-en-v1.5,18,0.843923055463367,131,0.8530558197552921
report_24,BAAI/bge-large-en-v1.5,12,0.8270846356948217,69,0.8277817022973213
report_25,BAAI/bge-large-en-v1.5,16,0.8212846480309963,65,0.8272756218910218
report_26,BAAI/bge-large-en-v1.5,17,0.8378804466303658,86,0.8234451329985331
report_27,BAAI/bge-large-en-v1.5,18,0.870851907465193,33,0.820474953362436
report_28,BAAI/bge-large-en-v1.5,14,0.7935349643230438,90,0.8147871580388811
report_29,BAAI/bge-large-en-v1.5,18,0.8447554210821787,75,0.8210030293464661
report_30,BAAI/bge-large-en-v1.5,18,0.8023995690875583,55,0.7989172805439342
report_31,BAAI/bge-large-en-v1.5,9,0.8439600202772353,105,0.8292445574487959
report_32,BAAI/bge-large-en-v1.5,17,0.8397729607189403,82,0.8206005576180249
report_33,BAAI/bge-large-en-v1.5,17,0.8303579617949093,47,0.8293850396541839
