report_folder,model_name,design_total_source_cases,design_to_code_alignment,requirement_total_source_cases,requirement_to_code_alignment
report_01,BAAI/bge-large-en-v1.5,10,0.8592646777629852,72,0.8234895418087641
report_02,BAAI/bge-large-en-v1.5,26,0.8426043116129361,58,0.8270028613764664
report_03,BAAI/bge-large-en-v1.5,26,0.8553659572051122,123,0.8327542843857432
report_04,BAAI/bge-large-en-v1.5,16,0.829696960747242,52,0.8067991836712911
report_05,BAAI/bge-large-en-v1.5,26,0.8771321590130146,85,0.8623599213712355
report_06,BAAI/bge-large-en-v1.5,6,0.8619686663150787,66,0.835690416169889
report_07,BAAI/bge-large-en-v1.5,14,0.8376606234482357,27,0.8230105329442907
report_08,BAAI/bge-large-en-v1.5,29,0.8382953631466833,53,0.818599745912372
report_09,BAAI/bge-large-en-v1.5,28,0.8394955950123923,114,0.8202894518249914
report_10,BAAI/bge-large-en-v1.5,20,0.850678026676178,65,0.8379442572593689
report_12,BAAI/bge-large-en-v1.5,19,0.871944386708109,111,0.8352801488326477
report_13,BAAI/bge-large-en-v1.5,31,0.8185305787670997,56,0.8400173304336411
report_14,BAAI/bge-large-en-v1.5,21,0.8256440787088304,77,0.8220648633969294
report_15,BAAI/bge-large-en-v1.5,18,0.8250604603025649,74,0.8242659174107216
report_16,BAAI/bge-large-en-v1.5,24,0.8171746929486593,41,0.8250957640205941
report_19,BAAI/bge-large-en-v1.5,33,0.818308640610088,56,0.8401085755654744
report_21,BAAI/bge-large-en-v1.5,21,0.848948135262444,100,0.8296002209186554
report_22,BAAI/bge-large-en-v1.5,29,0.8415942007097704,81,0.8375560295434645
report_23,BAAI/bge-large-en-v1.5,24,0.8433104231953621,131,0.8530558197552921
report_24,BAAI/bge-large-en-v1.5,20,0.824421951174736,69,0.8277817022973213
report_25,BAAI/bge-large-en-v1.5,22,0.8231624093922701,65,0.8272756218910218
report_26,BAAI/bge-large-en-v1.5,15,0.8562418222427368,86,0.8234451329985331
report_27,BAAI/bge-large-en-v1.5,28,0.8743292221001217,33,0.820474953362436
report_28,BAAI/bge-large-en-v1.5,19,0.8156732007076866,90,0.8147871580388811
report_29,BAAI/bge-large-en-v1.5,23,0.8394939795784329,75,0.8210030293464661
report_30,BAAI/bge-large-en-v1.5,25,0.8020716071128845,55,0.7989172805439342
report_31,BAAI/bge-large-en-v1.5,10,0.874722295999527,105,0.8292445574487959
report_32,BAAI/bge-large-en-v1.5,16,0.8541483730077744,82,0.8206005576180249
report_33,BAAI/bge-large-en-v1.5,17,0.842512821449953,47,0.8293850396541839
