report_folder,model_name,uml_txt_file,testcase_csv_file,num_testcases,num_concepts,num_flows,num_validations,concept_coverage,flow_coverage,validation_coverage,semantic_coverage,validation_status
Report_10_uml_pages,BAAI/bge-large-en-v1.5,Report_10_uml_pages.txt,Report_10_uml_pages_testcases.csv,20,26,55,12,0.7384840639737936,0.7890245751901106,0.7326112339893976,0.7533732910511005,computed_from_txt_validations
Report_12_uml_pages,BAAI/bge-large-en-v1.5,Report_12_uml_pages.txt,Report_12_uml_pages_testcases.csv,19,56,203,36,0.759971121592181,0.7971803551824223,0.7648538168933656,0.7740017645559897,computed_from_txt_validations
Report_13_uml_pages,BAAI/bge-large-en-v1.5,Report_13_uml_pages.txt,Report_13_uml_pages_testcases.csv,31,14,23,1,0.7672357559204102,0.8169652534567792,0.7498857975006104,0.7780289356259332,computed_from_txt_validations
Report_14_uml_pages,BAAI/bge-large-en-v1.5,Report_14_uml_pages.txt,Report_14_uml_pages_testcases.csv,21,52,87,10,0.7552761412583865,0.7924692034721375,0.7433407366275787,0.7636953604527009,computed_from_txt_validations
Report_15_uml_pages,BAAI/bge-large-en-v1.5,Report_15_uml_pages.txt,Report_15_uml_pages_testcases.csv,18,32,72,3,0.7450759690254927,0.7832432041565577,0.7673450311024984,0.765221401428183,computed_from_txt_validations
Report_16_uml_pages,BAAI/bge-large-en-v1.5,Report_16_uml_pages.txt,Report_16_uml_pages_testcases.csv,24,3,11,0,0.7738231221834818,0.8006641539660367,1.0,0.8581624253831729,no_validations_in_txt_assumed_100_percent
Report_19_uml_pages,BAAI/bge-large-en-v1.5,Report_19_uml_pages.txt,Report_19_uml_pages_testcases.csv,33,14,23,1,0.7527179079396384,0.805540004502172,0.7272499799728394,0.7618359641382165,computed_from_txt_validations
Report_1_uml_pages,BAAI/bge-large-en-v1.5,Report_1_uml_pages.txt,Report_1_uml_pages_testcases.csv,10,14,50,3,0.7340267172881535,0.7773535823822022,0.7740161220232645,0.7617988072312066,computed_from_txt_validations
Report_21_uml_pages,BAAI/bge-large-en-v1.5,Report_21_uml_pages.txt,Report_21_uml_pages_testcases.csv,21,26,124,13,0.7580541807871598,0.8050333242262563,0.7957167075230525,0.7862680708454896,computed_from_txt_validations
Report_22_uml_pages,BAAI/bge-large-en-v1.5,Report_22_uml_pages.txt,Report_22_uml_pages_testcases.csv,29,18,45,9,0.7348931531111399,0.7769450730747647,0.7286331057548523,0.7468237773135856,computed_from_txt_validations
Report_23_uml_pages,BAAI/bge-large-en-v1.5,Report_23_uml_pages.txt,Report_23_uml_pages_testcases.csv,24,32,68,7,0.7583760414272547,0.7882015074000639,0.7665603160858154,0.7710459549710448,computed_from_txt_validations
Report_24_uml_pages,BAAI/bge-large-en-v1.5,Report_24_uml_pages.txt,Report_24_uml_pages_testcases.csv,20,16,49,11,0.7010402418673038,0.7709776588848659,0.7082294984297319,0.7267491330606339,computed_from_txt_validations
Report_25_uml_pages,BAAI/bge-large-en-v1.5,Report_25_uml_pages.txt,Report_25_uml_pages_testcases.csv,22,42,129,4,0.7258862100896382,0.7691959835762201,0.7503151148557663,0.7484657695072082,computed_from_txt_validations
Report_26_uml_pages,BAAI/bge-large-en-v1.5,Report_26_uml_pages.txt,Report_26_uml_pages_testcases.csv,15,46,224,23,0.7112940355487491,0.7463643074567828,0.710564911365509,0.7227410847903469,computed_from_txt_validations
Report_27_uml_pages,BAAI/bge-large-en-v1.5,Report_27_uml_pages.txt,Report_27_uml_pages_testcases.csv,28,28,39,3,0.7660410680941173,0.8187565329747323,0.7508576313654581,0.7785517441447692,computed_from_txt_validations
Report_28_uml_pages,BAAI/bge-large-en-v1.5,Report_28_uml_pages.txt,Report_28_uml_pages_testcases.csv,19,11,54,3,0.7452585642988031,0.7742439133149607,0.75239497423172,0.7572991506151613,computed_from_txt_validations
Report_29_uml_pages,BAAI/bge-large-en-v1.5,Report_29_uml_pages.txt,Report_29_uml_pages_testcases.csv,23,30,61,16,0.7519150753815969,0.7877768014298111,0.7490559779107571,0.762915951574055,computed_from_txt_validations
Report_2_uml_pages,BAAI/bge-large-en-v1.5,Report_2_uml_pages.txt,Report_2_uml_pages_testcases.csv,26,28,92,9,0.7130301552159446,0.7571807905383732,0.712013476424747,0.727408140726355,computed_from_txt_validations
Report_30_uml_pages,BAAI/bge-large-en-v1.5,Report_30_uml_pages.txt,Report_30_uml_pages_testcases.csv,25,21,49,14,0.7632770027433123,0.8293278898511615,0.7974430961268288,0.7966826629071009,computed_from_txt_validations
Report_31_uml_pages,BAAI/bge-large-en-v1.5,Report_31_uml_pages.txt,Report_31_uml_pages_testcases.csv,10,15,33,0,0.7578539371490478,0.7947619593504703,1.0,0.8508719654998393,no_validations_in_txt_assumed_100_percent
Report_32_uml_pages,BAAI/bge-large-en-v1.5,Report_32_uml_pages.txt,Report_32_uml_pages_testcases.csv,16,31,111,9,0.7679447570154744,0.7989113212705733,0.7682122323248122,0.7783561035369533,computed_from_txt_validations
Report_33_uml_pages,BAAI/bge-large-en-v1.5,Report_33_uml_pages.txt,Report_33_uml_pages_testcases.csv,17,25,100,1,0.7333285999298096,0.7762195551395417,0.7249115705490112,0.7448199085394541,computed_from_txt_validations
Report_3_uml_pages,BAAI/bge-large-en-v1.5,Report_3_uml_pages.txt,Report_3_uml_pages_testcases.csv,26,16,59,3,0.7350628338754177,0.786759442192013,0.7181743780771891,0.74666555138154,computed_from_txt_validations
Report_4_uml_pages,BAAI/bge-large-en-v1.5,Report_4_uml_pages.txt,Report_4_uml_pages_testcases.csv,16,15,62,4,0.7568360726038615,0.8011620179299386,0.7623181194067001,0.7734387366468334,computed_from_txt_validations
Report_5_uml_pages,BAAI/bge-large-en-v1.5,Report_5_uml_pages.txt,Report_5_uml_pages_testcases.csv,26,11,63,6,0.7921996333382346,0.8203837180894519,0.8063031037648519,0.8062954850641795,computed_from_txt_validations
Report_6_uml_pages,BAAI/bge-large-en-v1.5,Report_6_uml_pages.txt,Report_6_uml_pages_testcases.csv,6,13,58,5,0.7099676498999963,0.7739886466799111,0.7735272526741028,0.7524945164180034,computed_from_txt_validations
Report_7_uml_pages,BAAI/bge-large-en-v1.5,Report_7_uml_pages.txt,Report_7_uml_pages_testcases.csv,14,19,104,1,0.6593250914623863,0.734739790742214,0.6835789680480957,0.692547950084232,computed_from_txt_validations
Report_8_uml_pages,BAAI/bge-large-en-v1.5,Report_8_uml_pages.txt,Report_8_uml_pages_testcases.csv,29,33,50,5,0.6976974462017869,0.7570237731933593,0.7187838435173035,0.7245016876374833,computed_from_txt_validations
Report_9_uml_pages,BAAI/bge-large-en-v1.5,Report_9_uml_pages.txt,Report_9_uml_pages_testcases.csv,28,38,118,26,0.7342146619370109,0.7795864242618367,0.7500885518697592,0.7546298793562022,computed_from_txt_validations
