report_folder,model_name,design_total_source_cases,design_to_code_alignment,requirement_total_source_cases,requirement_to_code_alignment
report_01,BAAI/bge-large-en-v1.5,14,0.829287473644529,72,0.8234895418087641
report_02,BAAI/bge-large-en-v1.5,16,0.8357743434607983,58,0.8270028613764664
report_03,BAAI/bge-large-en-v1.5,15,0.8381951888402303,123,0.8327542843857432
report_04,BAAI/bge-large-en-v1.5,17,0.8014112851198982,52,0.8067991836712911
report_05,BAAI/bge-large-en-v1.5,16,0.8734280578792095,85,0.8623599213712355
report_06,BAAI/bge-large-en-v1.5,14,0.8399561899048942,66,0.835690416169889
report_07,BAAI/bge-large-en-v1.5,10,0.7976600348949432,27,0.8230105329442907
report_08,BAAI/bge-large-en-v1.5,7,0.8504031215395246,53,0.818599745912372
report_09,BAAI/bge-large-en-v1.5,17,0.8334356230847976,114,0.8202894518249914
report_10,BAAI/bge-large-en-v1.5,16,0.8164183348417282,65,0.8379442572593689
report_12,BAAI/bge-large-en-v1.5,20,0.8650302320718766,111,0.8352801488326477
report_13,BAAI/bge-large-en-v1.5,12,0.8613847444454829,56,0.8400173304336411
report_14,BAAI/bge-large-en-v1.5,19,0.8365408495852822,77,0.8220648633969294
report_15,BAAI/bge-large-en-v1.5,15,0.7941858251889546,74,0.8242659174107216
report_16,BAAI/bge-large-en-v1.5,16,0.8370266929268837,41,0.8250957640205941
report_19,BAAI/bge-large-en-v1.5,15,0.8571903785069783,56,0.8401085755654744
report_21,BAAI/bge-large-en-v1.5,18,0.825293223063151,100,0.8296002209186554
report_22,BAAI/bge-large-en-v1.5,11,0.8500557162544944,81,0.8375560295434645
report_23,BAAI/bge-large-en-v1.5,16,0.8525415509939194,131,0.8530558197552921
report_24,BAAI/bge-large-en-v1.5,9,0.8044819235801697,69,0.8277817022973213
report_25,BAAI/bge-large-en-v1.5,14,0.8327934060777936,65,0.8272756218910218
report_26,BAAI/bge-large-en-v1.5,16,0.8491365872323513,86,0.8234451329985331
report_27,BAAI/bge-large-en-v1.5,17,0.809110304888557,33,0.820474953362436
report_28,BAAI/bge-large-en-v1.5,14,0.7847591297967094,90,0.8147871580388811
report_29,BAAI/bge-large-en-v1.5,12,0.8270256817340851,75,0.8210030293464661
report_30,BAAI/bge-large-en-v1.5,10,0.7956301987171173,55,0.7989172805439342
report_31,BAAI/bge-large-en-v1.5,17,0.82080419624553,105,0.8292445574487959
report_32,BAAI/bge-large-en-v1.5,17,0.8304821252822876,82,0.8206005576180249
report_33,BAAI/bge-large-en-v1.5,9,0.8349293735292223,47,0.8293850396541839
